"","colMeans.random_costs..na.rm...TRUE."
"X148",376.129988707427
"X149",370.607541204673
"X150",373.343017047207
"X151",370.419493140331
"X152",371.96670132438
"X153",375.395395526666
"X154",375.858923405156
"X155",380.565931659233
"X156",376.358195400677
"X157",373.368363007042
"X158",372.331717088749
"X159",370.382365276878
"X160",375.946162494315
"X161",370.179879864455
"X162",374.843011953384
"X163",377.506720496367
"X164",374.92456528799
"X165",377.501322803397
"X166",374.081064768855
"X167",372.824419135963
"X168",368.544990544804
"X169",378.45682473949
"X170",380.334241725587
"X171",372.525013110989
"X172",375.936135783267
"X173",374.831501010401
"X174",374.54635091447
"X175",368.328747453825
"X176",376.203298830507
"X177",374.381379875561
"X178",376.138368534281
"X179",382.872967371536
"X180",381.722028031436
"X181",370.973570624678
"X182",372.177363856599
"X183",374.673840660259
"X184",376.21328744735
"X185",371.576716598469
"X186",373.959301728687
"X187",376.222920789664
"X188",371.398144945982
"X189",381.583194620751
"X190",376.051246767223
"X191",370.171310386872
"X192",376.562993728857
"X193",377.266275756763
"X194",374.008987910931
"X195",370.549707634803
"X196",375.11246403239
"X197",369.196599506435
"X198",369.666444098257
"X199",378.545774058256
"X200",372.113679423255
"X201",374.557236208287
"X202",378.686052841892
"X203",376.0398093219
"X204",373.306041910623
"X205",377.779263912888
"X206",373.290989216726
"X207",377.658243776881
"X208",371.037028599171
"X209",375.213143199624
"X210",374.866703771512
"X211",374.49582142427
"X212",375.865694255479
"X213",375.897415020343
"X214",374.762972462007
"X215",375.526600158788
"X216",373.107832844445
"X217",372.865051667163
"X218",371.937083390667
"X219",370.931378060114
"X220",375.233727230384
"X221",384.521622751935
"X222",371.166729848201
"X223",375.896377468399
"X224",371.967145809128
"X225",376.68138022096
"X226",368.033739541562
"X227",374.865828454262
"X228",372.461138966229
"X229",377.189844251248
"X230",371.475497938661
"X231",376.077798578427
"X232",373.669400901624
"X233",375.104317085088
"X234",377.906073186262
"X235",377.921392522699
"X236",375.692715674912
"X237",375.114691390819
"X238",372.197995570282
"X239",376.239879739664
"X240",374.921003618496
"X241",374.676055069082
"X242",373.633895208515
"X243",376.005895985486
"X244",379.383741466339
"X245",378.791128690699
"X246",369.810367755626
"X247",376.388245148504
"X248",378.155050407913
"X249",373.844421005206
"X250",375.476004157326
"X251",379.492362303729
"X252",377.212411180812
"X253",372.511588784224
"X254",375.48385334053
"X255",371.733934198046
"X256",374.045655065186
"X257",374.153679345142
"X258",377.115470643337
"X259",382.626676453336
"X260",370.612701711072
"X261",374.513623399572
"X262",370.510308467136
"X263",377.717547786834
"X264",376.494129170228
"X265",370.820020093522
"X266",380.327136237546
"X267",374.407231825939
"X268",366.73177799749
"X269",370.593298172844
"X270",372.82336660824
"X271",370.619923415119
"X272",381.97000152235
"X273",373.937751299678
"X274",374.406089620463
"X275",369.471177047796
"X276",378.725743690365
"X277",366.586118221177
"X278",378.615684773529
"X279",372.610414723266
"X280",375.330412649525
"X281",371.181053551404
"X282",373.381126305836
"X283",370.865520948747
"X284",374.552860454676
"X285",377.929857176102
"X286",377.449543675576
"X287",371.758931534416
"X288",373.565381106954
"X289",374.226913877088
"X290",372.140292720458
"X291",373.129464079942
"X292",381.328508233054
"X293",376.922634638366
"X294",370.858948648211
"X295",373.484162641757
"X296",370.681321783194
"X297",372.018247702428
"X298",379.319163544897
"X299",376.798436581076
"X300",380.61454066163
"X301",373.811661090678
"X302",375.698318025794
"X303",375.865750433292
"X304",374.215208322002
"X305",373.655613983934
"X306",373.373345806792
"X307",375.012288173217
"X308",378.025212130016
"X309",374.987581740831
"X310",376.076418646171
"X311",373.214829708762
"X312",371.883081953328
"X313",373.508830245525
"X314",376.348475529474
"X315",380.021363244665
"X316",377.862971668399
"X317",372.327816095702
"X318",371.466522187888
"X319",377.785264102683
"X320",379.413673339588
"X321",373.124057782874
"X322",374.495169850233
"X323",374.012433134385
"X324",375.713583091234
"X325",377.214980783279
"X326",372.816095803869
"X327",370.846702133623
"X328",377.009261402721
"X329",372.465556664772
"X330",371.708399230675
"X331",377.498122025611
"X332",371.217170503631
"X333",377.954577827671
