"","x"
"X313",118.350130845814
"X314",98.8702077600648
"X315",134.006267012189
"X316",113.06863338843
"X317",119.5242728959
"X318",127.343151716618
"X319",108.811359986144
"X320",107.212655833042
"X321",107.723736879172
"X322",123.954823198452
"X323",106.142945843516
"X324",123.74480837633
"X325",119.682760486437
"X326",121.32179045658
"X327",112.619011386323
"X328",105.269993321777
"X329",109.166451230862
"X330",104.629517631683
"X331",113.620469834621
"X332",119.615732807248
"X333",106.064080446272
"X334",118.283370742325
"X335",138.819933747924
"X336",100.616428288753
"X337",115.696518634605
"X338",106.23393779013
"X339",114.387980252523
"X340",116.930900579602
"X341",117.569320131835
"X342",126.121907889825
"X343",100.242368702582
"X344",109.428288555753
"X345",129.637011239121
"X346",130.067006728857
"X347",102.398857428582
"X348",123.344793802633
"X349",123.083860455801
"X350",112.400425099181
"X351",126.720541545494
"X352",101.959914235147
"X353",103.216704863952
"X354",117.630859715329
"X355",106.312754229884
"X356",114.609865987527
"X357",90.9519552129053
"X358",106.760568576863
"X359",99.7133301950736
"X360",105.622795292738
"X361",121.370439857383
"X362",116.440309171151
"X363",101.579308357461
"X364",106.731336584075
"X365",104.949080529056
"X366",109.947025883812
"X367",97.1956726303464
"X368",108.683236758521
"X369",127.848901348376
"X370",98.6170817440626
"X371",110.649141252114
"X372",105.192438149465
"X373",113.264350359354
"X374",100.523661348011
"X375",113.252495959841
"X376",99.3231982922804
"X377",119.10550461112
"X378",116.302240447755
"X379",124.016890951917
"X380",125.298438417221
"X381",99.2630790077896
"X382",119.605662890317
"X383",108.725223660704
"X384",128.166625500377
"X385",118.570315943295
"X386",123.207602867132
"X387",117.328858381021
"X388",99.0464911410404
"X389",114.762507493313
"X390",113.214537949914
"X391",110.573960538577
"X392",125.898263759523
"X393",119.16305537176
"X394",108.969327542167
"X395",112.620927163081
"X396",108.594068614775
"X397",97.3232256370273
"X398",104.682806456351
"X399",122.716595839456
"X400",121.268089572146
"X401",115.289197589366
"X402",119.292629308728
"X403",109.429458895012
"X404",110.104084908707
"X405",117.268515566272
"X406",124.390517812267
"X407",121.747347912127
"X408",111.88069834654
"X409",115.658779069065
"X410",118.75843655215
"X411",109.451224181792
"X412",113.64581828493
"X413",127.620183649233
"X414",110.126298731386
"X415",105.400773979347
"X416",127.517739366139
"X417",119.576976896333
"X418",114.782337806236
"X419",115.354250226503
"X420",118.857142743723
"X421",97.0384130258434
"X422",113.286061704681
"X423",95.3020313079788
"X424",100.116151427123
"X425",117.149536362817
"X426",108.21620111197
"X427",109.518105686529
"X428",120.147045880352
"X429",108.544595215914
"X430",106.746547856002
"X431",109.294607878258
"X432",107.658959283903
"X433",119.282525122349
"X434",110.83910882419
"X435",117.704132025053
"X436",125.542211984538
"X437",107.043343146128
"X438",113.084519584277
"X439",115.342790748461
"X440",112.960183461737
"X441",122.113143702532
"X442",124.762307910993
"X443",125.406908240867
"X444",118.877605261454
"X445",136.131336174698
"X446",114.945041729566
"X447",106.082490844407
"X448",111.649013810988
"X449",89.4373003349753
"X450",113.122352689896
"X451",97.641620030467
"X452",119.781354756215
