"","colMeans.random_QALYs..na.rm...TRUE."
"X512",0.16802843803056
"X513",0.169313613231552
"X514",0.169484096692112
"X515",0.169245554614733
"X516",0.165449407281964
"X517",0.168408552074513
"X518",0.169279736618522
"X519",0.16725550381033
"X520",0.169625106022053
"X521",0.16690860899067
"X522",0.169293367346939
"X523",0.168172391857506
"X524",0.165550890585242
"X525",0.168072765957447
"X526",0.16978616751269
"X527",0.167694961896698
"X528",0.167739830508475
"X529",0.168519982993197
"X530",0.167563825275657
"X531",0.168839906700594
"X532",0.166258920985557
"X533",0.169578813559322
"X534",0.166388252756573
"X535",0.167182049110923
"X536",0.166793607112616
"X537",0.168463740458015
"X538",0.168162139219015
"X539",0.16529304495335
"X540",0.169088620981387
"X541",0.168734096692112
"X542",0.168081144067797
"X543",0.169850423728814
"X544",0.16754699407282
"X545",0.1666709855565
"X546",0.168268463497453
"X547",0.164928541136556
"X548",0.169147544453853
"X549",0.166522321428571
"X550",0.166250211505922
"X551",0.167186336717428
"X552",0.169353140916808
"X553",0.165176395939086
"X554",0.169146134239592
"X555",0.16891313559322
"X556",0.169618866328257
"X557",0.169399193548387
"X558",0.169001483050847
"X559",0.167172099915326
"X560",0.167612478777589
"X561",0.166821034775233
"X562",0.168311176968671
"X563",0.167773073666384
"X564",0.169056260575296
"X565",0.167532627118644
"X566",0.170199235344095
"X567",0.172828032230704
"X568",0.166702118644068
"X569",0.166725444538527
"X570",0.167403601694915
"X571",0.168296516567545
"X572",0.169199109414758
"X573",0.167122142252329
"X574",0.168627749576988
"X575",0.166997461928934
"X576",0.165963409475465
"X577",0.16600106292517
"X578",0.170277542372881
"X579",0.167961832061069
"X580",0.166300804403048
"X581",0.16676843220339
"X582",0.168205220713073
"X583",0.168624152542373
"X584",0.168500212044105
"X585",0.167032811176969
"X586",0.168443548387097
"X587",0.167671398305085
"X588",0.168680237489398
"X589",0.168692209991533
"X590",0.169364098221846
"X591",0.166556827820187
"X592",0.166369796091759
"X593",0.166425996607294
"X594",0.167553358843537
"X595",0.167659610499577
"X596",0.167676059322034
"X597",0.167875529212532
"X598",0.166893644067797
"X599",0.166063347457627
"X600",0.168753169907016
"X601",0.168775803722504
"X602",0.166787955894826
"X603",0.166507415254237
