"","x"
"X112",0.805660538211715
"X113",0.808445751528581
"X114",0.804890315313338
"X115",0.804028587332392
"X116",0.810279003835568
"X117",0.806778205398024
"X118",0.808263767011291
"X119",0.80687496035427
"X120",0.807951453361582
"X121",0.807727789018362
"X122",0.804351890733945
"X123",0.808716325412844
"X124",0.806942021854622
"X125",0.809890679173729
"X126",0.805671938147495
"X127",0.805144732539167
"X128",0.806198614714185
"X129",0.806183033082569
"X130",0.80720310809386
"X131",0.809612849724065
"X132",0.806295658170078
"X133",0.807017217548342
"X134",0.808306367687368
"X135",0.806009376714185
"X136",0.808676891880028
"X137",0.808208376223712
"X138",0.803499753454481
"X139",0.804809899809457
"X140",0.806668092712068
"X141",0.807045437446718
"X142",0.808122055369795
"X143",0.805728548352858
"X144",0.805559348716808
"X145",0.808394825964714
"X146",0.808109423470713
"X147",0.808726915007763
"X148",0.805627995549753
"X149",0.806941118231638
"X150",0.808641214420607
"X151",0.804715223021171
"X152",0.806697063966126
"X153",0.808286230902611
"X154",0.805249969693719
"X155",0.802644924604799
"X156",0.80704589910868
"X157",0.808565355398305
"X158",0.806705226407198
"X159",0.803699809602682
"X160",0.805776423152435
"X161",0.806150942586864
"X162",0.804744745076217
"X163",0.808935130393084
"X164",0.807427254577982
"X165",0.806394041295695
"X166",0.806392616254764
"X167",0.807120561340155
"X168",0.806583551565984
"X169",0.810150891869442
"X170",0.809201256263938
"X171",0.807756228721948
"X172",0.807149712321101
"X173",0.804878321365561
"X174",0.805984626575159
"X175",0.804953173639831
"X176",0.808635936370056
"X177",0.808349407542696
"X178",0.809322851858051
"X179",0.806903276299929
"X180",0.808506258685956
"X181",0.805528759227241
"X182",0.806781833640537
"X183",0.807224870761468
"X184",0.804394395745942
"X185",0.806594896843331
"X186",0.807755874671842
"X187",0.80889521488638
"X188",0.805385116261115
"X189",0.808945748484121
"X190",0.80376864662597
"X191",0.807151902565984
"X192",0.805386245941426
"X193",0.806324604023289
"X194",0.806390782633733
"X195",0.805471780630205
"X196",0.807747556740296
"X197",0.803209030749471
"X198",0.808915289425547
"X199",0.805486118304869
"X200",0.805224444162429
"X201",0.8059746830247
"X202",0.80449730406916
"X203",0.806144352103814
"X204",0.809405833875794
"X205",0.805795912483416
"X206",0.807125946002117
"X207",0.805805830763585
"X208",0.805761703918137
"X209",0.808157326452364
"X210",0.808389310793785
"X211",0.807987271587862
"X212",0.809439560718419
"X213",0.804698633766408
"X214",0.806503823132675
"X215",0.804319142525759
"X216",0.807071348100917
"X217",0.807756804185734
"X218",0.806285846300635
"X219",0.807400481887712
"X220",0.806422698633733
"X221",0.806282694084686
"X222",0.806787410526836
"X223",0.806563057441778
"X224",0.80775354798517
"X225",0.805513561786168
"X226",0.808619044672316
"X227",0.805685571365819
"X228",0.810202968103035
"X229",0.810497610812279
"X230",0.806109293747354
"X231",0.808515983031052
"X232",0.81009710248517
"X233",0.805268986469301
"X234",0.806845170021186
"X235",0.809280356136203
"X236",0.808138386314749
"X237",0.804674658394774
"X238",0.805809762199718
"X239",0.805330469883557
"X240",0.807724019434016
"X241",0.806649105633475
"X242",0.807329700371912
"X243",0.803898561913903
"X244",0.807517394477401
"X245",0.80802755504446
"X246",0.807337179302966
"X247",0.805628000347212
"X248",0.807856553011291
"X249",0.804548119857345
"X250",0.807890229095977
"X251",0.804231260626412
"X252",0.806579838983769
"X253",0.807734088730416
"X254",0.808897709194072
"X255",0.805447728449541
"X256",0.806208272548342
"X257",0.809684963378264
"X258",0.801278741069866
"X259",0.806063564195621
"X260",0.806068476426253
"X261",0.801849464685251
"X262",0.805679686637262
"X263",0.806362481833451
"X264",0.804712010841214
"X265",0.805600338218066
"X266",0.806301606802399
"X267",0.807001227537756
"X268",0.806098654664785
"X269",0.806755501529993
"X270",0.8073209315
"X271",0.807754969590395
"X272",0.806922040403955
"X273",0.810050634036017
"X274",0.804273570442484
"X275",0.805892610013409
"X276",0.809993612279464
"X277",0.806570561323924
"X278",0.804644732251235
"X279",0.807924223868031
"X280",0.805277744466478
"X281",0.805463955601976
"X282",0.804741568892025
"X283",0.806657117698659
"X284",0.806149980827805
"X285",0.805986433450953
"X286",0.805988635534933
"X287",0.806705846463656
"X288",0.806824871217361
"X289",0.807103746599153
"X290",0.807930648797459
"X291",0.805947308237121
"X292",0.806910522134086
"X293",0.809073628090332
"X294",0.805393209514467
"X295",0.808020630206069
"X296",0.805757357872265
"X297",0.80640474404446
"X298",0.806570602847458
"X299",0.806840316867232
"X300",0.805909932052223
"X301",0.80916660509386
"X302",0.805456384116443
"X303",0.809844491548729
"X304",0.804766211769231
"X305",0.805483070547636
"X306",0.808773439043785
"X307",0.805476352847565
"X308",0.808158429769936
"X309",0.80674418162597
"X310",0.80330697493084
"X311",0.807677757711362
"X312",0.805861876503176
"X313",0.804373133870854
"X314",0.802815570056457
"X315",0.806941055789697
"X316",0.808986928411723
"X317",0.810399451321101
"X318",0.805291732516584
"X319",0.809909026097389
"X320",0.805473540611856
"X321",0.804205492362738
"X322",0.810755666172901
"X323",0.806873077580099
"X324",0.804994200706215
"X325",0.809225973773465
"X326",0.805335963996471
"X327",0.806033738038814
"X328",0.809583591123588
"X329",0.804440281357092
"X330",0.809316281227241
"X331",0.804741557564573
"X332",0.805293077801694
"X333",0.807091457764291
"X334",0.809290442634887
"X335",0.808855456190678
"X336",0.806748559188426
"X337",0.805319455693719
"X338",0.806702802302752
"X339",0.804432656689485
"X340",0.809987238399011
"X341",0.810482486292872
"X342",0.805132067239944
"X343",0.804557136458333
"X344",0.806050844388144
"X345",0.808502797941426
"X346",0.808322910793931
"X347",0.806930978155367
"X348",0.805399871523641
"X349",0.805422004308398
"X350",0.804155843221595
"X351",0.807406240230063
"X352",0.804894273224418
"X353",0.807152169480593
"X354",0.808077417252646
"X355",0.806285006068454
"X356",0.807117267776288
"X357",0.806925526468596
"X358",0.804383548560734
"X359",0.808977870417078
"X360",0.806617899430487
"X361",0.807583569459421
"X362",0.807620473574859
"X363",0.807486863600565
"X364",0.806804274197601
"X365",0.806458315184322
"X366",0.806428459375441
"X367",0.808049226107269
"X368",0.810762688745942
"X369",0.808016940157486
"X370",0.804642025085392
"X371",0.804227575223006
"X372",0.808981943366972
"X373",0.804863235792519
"X374",0.80604198861115
"X375",0.805653658234298
"X376",0.807263558632322
"X377",0.808746195544813
"X378",0.807700584046577
"X379",0.805590903354975
"X380",0.80819664004446
"X381",0.807903314137615
"X382",0.807327658760762
"X383",0.809958008176429
"X384",0.805717004705716
"X385",0.806612234589273
"X386",0.80533054052223
"X387",0.80896093725565
"X388",0.804527070035286
"X389",0.80390931555681
"X390",0.80504807741355
"X391",0.807478211839802
"X392",0.810292432397318
"X393",0.807869526325335
"X394",0.80778255463585
"X395",0.806020896017643
"X396",0.808677333607622
"X397",0.80817337562103
"X398",0.807330173678193
"X399",0.808109283076923
"X400",0.804709910547636
"X401",0.807034485616796
"X402",0.808407223738179
"X403",0.806825821013409
"X404",0.805330035056457
"X405",0.806197965234298
