"","colMeans.random_costs..na.rm...TRUE."
"X273",762.346048474894
"X274",752.801163587194
"X275",756.328369297844
"X276",759.785925567582
"X277",755.79962513415
"X278",758.648292232925
"X279",759.285227339899
"X280",757.757270201014
"X281",759.557734224345
"X282",758.626495404818
"X283",763.611814471936
"X284",763.348713485926
"X285",758.31707527798
"X286",759.466126742519
"X287",756.256033069273
"X288",762.936523047549
"X289",756.47065769273
"X290",759.984351693872
"X291",760.65455277519
"X292",759.62407423694
"X293",756.473123114497
"X294",754.269880116653
"X295",759.228536373922
"X296",754.69888523956
"X297",759.514874398056
"X298",758.3654798347
"X299",759.332704837109
"X300",759.975283720287
"X301",762.416863953677
"X302",765.648945398309
"X303",759.383311470795
"X304",757.896403609425
"X305",759.715241256298
"X306",760.56080160224
"X307",765.668230565131
"X308",755.936111929755
"X309",757.302062989814
"X310",754.364525430304
"X311",759.110928001395
"X312",759.669259756636
"X313",755.601989209679
"X314",755.354697876078
"X315",758.452892495604
"X316",763.447131865427
"X317",757.637479531192
"X318",757.140981701183
"X319",757.155816068935
"X320",758.106925811538
"X321",761.932964488673
"X322",757.819172340955
"X323",762.545114652916
"X324",763.097179999789
"X325",755.56070792333
"X326",756.54946929104
"X327",764.460542339307
"X328",758.024935058876
"X329",763.459478637659
"X330",762.216439007439
"X331",761.020570078487
"X332",756.009737699197
"X333",757.729057489603
"X334",761.959371442308
"X335",763.205849180642
"X336",760.373388135756
"X337",760.825781555959
"X338",762.9434377735
"X339",757.230302969484
"X340",762.388653820752
"X341",759.957781357396
"X342",755.304173980516
"X343",759.181037085926
"X344",753.81594703787
"X345",758.37787384776
"X346",760.02818135
"X347",758.055229226247
"X348",759.5171289806
"X349",758.918823983052
"X350",759.875272589434
"X351",758.050163641082
"X352",754.925453088335
"X353",759.536976728614
"X354",758.439478345478
"X355",760.118374176796
"X356",760.465268504734
"X357",759.091941472443
"X358",766.087761169273
"X359",761.42037088918
"X360",754.476844871809
"X361",756.875693550254
"X362",761.1569304806
"X363",757.625116544928
"X364",762.706724228149
"X365",760.274205903677
"X366",758.730680079205
"X367",757.32486326437
