"","x"
"X466",110.855516481087
"X467",108.814824474065
"X468",87.6961735175018
"X469",107.515142516231
"X470",135.121747061186
"X471",108.683392271136
"X472",107.249522855187
"X473",137.951820757798
"X474",100.382494085039
"X475",113.994730629393
"X476",104.285942113267
"X477",90.9737209224065
"X478",117.97132831355
"X479",131.634960215949
"X480",103.300559230875
"X481",123.44827142163
"X482",118.073218678617
"X483",141.524562042308
"X484",111.407895566267
"X485",100.725304097742
"X486",115.574492224735
"X487",126.179224859351
"X488",117.914079761856
"X489",108.914343384686
"X490",126.812726305046
"X491",109.943261234615
"X492",112.49633057777
"X493",93.2707565830981
"X494",112.272674601729
"X495",99.3600206173253
"X496",131.157011347283
"X497",116.25312434626
"X498",113.413940572018
"X499",111.492178513726
"X500",119.214029530981
"X501",109.199335356104
"X502",113.054747723218
"X503",108.869389284404
"X504",104.407062150953
"X505",116.528355737156
"X506",121.419727851482
"X507",119.439110729922
"X508",124.088877229922
"X509",139.868100787297
"X510",112.06379216796
"X511",109.997239897459
"X512",122.929079547177
"X513",118.254808737368
"X514",100.966214473959
"X515",120.803183621207
"X516",105.697502487368
"X517",118.460392434298
"X518",107.030046746895
"X519",118.971273002541
"X520",108.842199460162
"X521",122.917961450635
"X522",121.755468094742
"X523",116.545858063091
"X524",107.168265237579
"X525",108.518981293719
"X526",110.863683511221
"X527",105.729584723606
"X528",118.187773343754
"X529",115.393226792131
"X530",115.518591097812
"X531",120.739099637191
"X532",106.642338730028
"X533",120.190071863409
"X534",116.876036159315
"X535",111.882457119831
"X536",111.52321580494
"X537",99.9226927834862
"X538",117.007713663832
"X539",100.802341192978
"X540",111.592599516267
"X541",109.563863126076
"X542",118.259078866126
"X543",119.846486285039
"X544",120.557448017819
"X545",110.986273696471
"X546",104.144331780522
"X547",121.957250409457
"X548",104.397653669372
"X549",112.12818916789
"X550",116.323666618243
"X551",114.381877088391
"X552",101.382726754234
"X553",107.729858171313
"X554",116.029369486768
"X555",120.925724661927
"X556",122.192878242131
"X557",126.239838887932
"X558",119.210095252964
"X559",109.359464670395
"X560",115.257273265314
"X561",126.767265377276
"X562",107.220464581263
"X563",103.465404466267
"X564",137.01162179573
"X565",106.306701450706
"X566",108.26473110374
"X567",123.236448294495
"X568",116.888783764432
"X569",109.513169213973
"X570",122.112919736097
"X571",124.934172819231
"X572",139.547305731228
"X573",107.791891554128
"X574",115.959521910974
"X575",120.439366827488
"X576",119.005324029781
"X577",101.255496224947
"X578",121.1758669494
"X579",109.51229394139
"X580",103.045131700635
"X581",105.134502446189
"X582",113.658756359457
"X583",114.334255229675
"X584",115.020503252294
"X585",120.252757771701
"X586",114.51792761916
"X587",105.187099327205
"X588",122.674270758045
"X589",107.771611824171
"X590",128.288187171454
"X591",105.319952198271
"X592",106.271277047318
"X593",113.076695265808
"X594",104.576335120325
"X595",117.750035336768
"X596",110.105064623783
"X597",102.247340277911
"X598",115.496901987191
"X599",120.822657296789
"X600",101.841738267996
"X601",117.527415307269
"X602",109.250801878899
"X603",104.855055859986
"X604",106.289917342025
"X605",121.321619931828
"X606",112.342214286097
"X607",91.3290982987297
"X608",110.922578250459
"X609",120.181557878546
"X610",137.160381560621
"X611",107.069335799824
"X612",121.902480038215
"X613",110.045498635109
"X614",122.204040829146
"X615",119.508649460268
"X616",103.762070338885
"X617",124.847085667713
"X618",118.01002893091
"X619",122.041367890685
"X620",113.036671926958
"X621",108.365735734862
"X622",119.224620122583
"X623",119.208600024806
"X624",119.391110011856
"X625",124.860172349294
"X626",130.10363353091
"X627",102.492651214644
"X628",111.114593041531
"X629",111.680693049965
"X630",122.391691926641
"X631",105.132070318596
"X632",112.462393202682
"X633",113.016105789944
"X634",114.623121083804
"X635",116.453354680416
"X636",108.752316438779
"X637",100.235550612879
"X638",111.96431753518
"X639",128.056865262738
"X640",102.607033618313
"X641",120.985784008998
"X642",116.246745762032
"X643",102.191276342978
"X644",117.121065959033
"X645",94.0904583488003
"X646",111.528268680205
"X647",125.316870442343
"X648",138.24387006729
"X649",114.274335591214
"X650",111.216306306422
"X651",104.939548215385
"X652",105.650971968137
"X653",118.473686844072
"X654",111.556176044178
"X655",122.844442992378
"X656",98.538115786168
"X657",109.371264726288
"X658",114.308970036168
"X659",116.743026085109
"X660",110.563015605293
"X661",124.289871105293
"X662",117.471435281722
"X663",99.3304331637615
"X664",112.473937414008
"X665",97.2326821646436
"X666",118.629240747883
"X667",113.019537629922
"X668",102.981555951905
"X669",118.410427028511
"X670",103.24998889319
"X671",103.988049334827
