"","colMeans.random_QALYs..na.rm...TRUE."
"X724",1.57298172561623
"X725",1.56998489552325
"X726",1.5710024356754
"X727",1.56858485325782
"X728",1.57124060135587
"X729",1.57308506458495
"X730",1.5726541685579
"X731",1.56971270617413
"X732",1.56982745680811
"X733",1.57122876703635
"X734",1.57023320490617
"X735",1.57020192849028
"X736",1.5695736529197
"X737",1.57129639171936
"X738",1.57056625646999
"X739",1.57195911361285
"X740",1.572173188
"X741",1.571001801694
"X742",1.57107576619104
"X743",1.57132703415385
"X744",1.56994770194759
"X745",1.57011549569231
"X746",1.57085492933559
"X747",1.57011908825359
"X748",1.57087268081488
"X749",1.56945235114455
"X750",1.57010598597126
"X751",1.57192424463567
"X752",1.57025771885376
"X753",1.57031097329163
"X754",1.57169622265765
"X755",1.57000032240406
"X756",1.56973679746746
"X757",1.57010175942857
"X758",1.56855273153339
"X759",1.57158252865934
"X760",1.57202779493153
"X761",1.56943840355368
"X762",1.56951934184615
"X763",1.56991325562468
"X764",1.56913219053593
"X765",1.57171503077261
"X766",1.57160450668132
"X767",1.57075433761961
"X768",1.5697978710093
"X769",1.56875518292815
"X770",1.57097496314793
"X771",1.5694563663601
"X772",1.57015099865089
"X773",1.57189571547253
"X774",1.57235323871851
"X775",1.57126934184615
"X776",1.56971756669822
"X777",1.57140036466948
"X778",1.57048299357904
"X779",1.57269157346069
"X780",1.57102568166019
"X781",1.57270932493998
"X782",1.57064550414539
"X783",1.57110556331699
"X784",1.56873299357904
"X785",1.56904512375655
"X786",1.57176215672358
"X787",1.57149715249704
"X788",1.5719428414235
"X789",1.5707192573153
"X790",1.56900053373119
"X791",1.5696074652612
"X792",1.5719434754049
"X793",1.57207027168555
"X794",1.57025391496534
"X795",1.56949820913271
"X796",1.57181562248859
"X797",1.56884098174472
"X798",1.57116156500761
"X799",1.56964465883686
"X800",1.57261570701944
"X801",1.57144115080642
"X802",1.5687463071885
"X803",1.57157323026543
"X804",1.57128730465258
"X805",1.5713236529197
"X806",1.57351384734066
"X807",1.56989465883686
"X808",1.57100412629248
"X809",1.5702843460727
"X810",1.57134732155875
"X811",1.56910936720541
"X812",1.56954808233643
"X813",1.57170594370583
"X814",1.5707253858022
"X815",1.57145467574303
"X816",1.57000370363821
"X817",1.57106414319865
"X818",1.56939951936095
"X819",1.57034140439899
"X820",1.57068396568385
"X821",1.57269389805917
"X822",1.57040754979205
"X823",1.57041853880304
"X824",1.57046334015554
"X825",1.57146756669822
"X826",1.57129301048521
"X827",1.57026807388335
"X828",1.56898785410313
"X829",1.57020594370583
"X830",1.56864973068808
"X831",1.57001638326627
"X832",1.57001976450042
"X833",1.57080125224345
"X834",1.57149842045985
"X835",1.56976046610651
"X836",1.57200835283516
"X837",1.57081393187151
"X838",1.57192361065427
"X839",1.57073912206593
"X840",1.57178371209129
"X841",1.57116600287743
"X842",1.57009140439899
"X843",1.5712382767574
"X844",1.57020277379882
"X845",1.57040205528656
"X846",1.57132301893829
"X847",1.57118481099239
"X848",1.57326891919188
"X849",1.56965057599662
"X850",1.57014951936095
"X851",1.5695742869011
"X852",1.57188620575148
"X853",1.57094030549789
"X854",1.57156541116145
"X855",1.57066494624176
"X856",1.57116431226036
"X857",1.57212246948774
"X858",1.57077356838884
"X859",1.57209436297887
"X860",1.5708893756585
"X861",1.57176321335926
"X862",1.56959182705325
"X863",1.56733062671513
"X864",1.571712494847
"X865",1.57110661995266
"X866",1.56993481099239
"X867",1.57245002654607
"X868",1.56969115080642
"X869",1.5706080992426
"X870",1.57165585917498
"X871",1.57057027168555
"X872",1.57059689890448
"X873",1.57106562248859
"X874",1.57232153964835
"X875",1.5684496038918
"X876",1.57115205528656
"X877",1.57124144666441
"X878",1.57187690735757
"X879",1.57091917278445
"X880",1.56928181014708
"X881",1.57073193694336
"X882",1.57112310346915
"X883",1.57215818377346
"X884",1.5698912776027
"X885",1.57140036466948
"X886",1.56858971378191
"X887",1.57036338242096
"X888",1.57105695807608
"X889",1.57038049991885
"X890",1.56879026323246
"X891",1.57064444750972
"X892",1.57260894455114
"X893",1.57046101555706
"X894",1.56973806543026
"X895",1.57192804852409
"X896",1.56936274843956
"X897",1.57122263854945
"X898",1.57276279070499
"X899",1.57146101555706
"X900",1.56917170871006
"X901",1.57186676365511
"X902",1.57130104091631
"X903",1.56955505613187
"X904",1.5690011677126
"X905",1.57165226661369
"X906",1.57058971378191
"X907",1.56932661149958
"X908",1.57102060980896
"X909",1.57061465038377
"X910",1.5727917425224
"X911",1.5730884458191
"X912",1.57030822603888
"X913",1.57173848808453
"X914",1.57176405866779
"X915",1.57047623111074
"X916",1.5720030696568
"X917",1.57131245258157
"X918",1.56967973914117
"X919",1.5703961381268
"X920",1.57272749907354
"X921",1.57123320490617
"X922",1.570330415388
"X923",1.57037479408622
"X924",1.57166663685883
"X925",1.57134541961454
"X926",1.56865733846492
"X927",1.57070383043449
"X928",1.5705675244328
"X929",1.57176236805072
"X930",1.57149186931868
"X931",1.57126913051902
"X932",1.57069812460186
"X933",1.57060852189687
"X934",1.56916621420456
"X935",1.57174377126289
"X936",1.56866536889603
"X937",1.56829301048521
"X938",1.57114254556551
"X939",1.56994178478783
"X940",1.57045974759425
"X941",1.57009563094167
"X942",1.56990860642773
"X943",1.57054406712088
"X944",1.56819791327473
"X945",1.57190754979205
"X946",1.57132470955537
"X947",1.57344812460186
"X948",1.57021143821133
"X949",1.57183020406086
"X950",1.57047961234489
"X951",1.57108443060355
"X952",1.57177103246323
"X953",1.57166769349451
"X954",1.57122158191378
"X955",1.57109795554015
"X956",1.57034055909045
"X957",1.57034880084869
"X958",1.56872834438208
"X959",1.57138662840575
"X960",1.57122411783939
"X961",1.56850771885376
"X962",1.56923193694336
"X963",1.57192276534573
"X964",1.56989339087405
"X965",1.56989825139814
"X966",1.57049355993576
"X967",1.57043459966526
"X968",1.57296418546407
"X969",1.56950877548943
"X970",1.56999165799155
"X971",1.56963472646154
"X972",1.57153350076416
"X973",1.57063197920879
"X974",1.57148510685038
"X975",1.57179660304649
"X976",1.57009267236179
"X977",1.56973489552325
"X978",1.56992403330854
"X979",1.57103244412849
"X980",1.56949525055283
"X981",1.57275011107692
"X982",1.57060978985968
"X983",1.57184774421302
"X984",1.56977525900592
"X985",1.56978667067117
"X986",1.56966050837194
"X987",1.57010154810144
"X988",1.57209372899746
"X989",1.56902969687574
"X990",1.57084034776331
"X991",1.57298383888757
"X992",1.56698109163483
"X993",1.57138874167709
"X994",1.57105082958918
"X995",1.57159753288588
"X996",1.56863641707861
"X997",1.57150201302113
"X998",1.57088155655452
"X999",1.57158886847337
"X1000",1.5712456732071
